adm0_name,adm0_gaulcode,adm0_pcod3,adm0_pcod2,region,adm1_name,adm1_gaulcode,adm1_pcod3,adm1_pcod2,adm2_name,adm2_gaulcode,adm2_pcod3,adm2_pcod2,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,chtype,exercise_code,exercise_label,exercise_year,reference_code,reference_label,reference_year,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,usethisperiod
Burkina Faso,42,BFA,BF,,Plateau Central,40286,BFA055,BF55,Oubritenga,154478,BFA055003,BF5503,333215,2,243247,73307,16661,0,0,16661,current,2,Jan-May,2021,2,Jan-May,2021,2,1,2,1,Y
Burkina Faso,42,BFA,BF,,Sahel,40287,BFA056,BF56,Oudalan,154479,BFA056001,BF5601,167549,3,58642,50265,41887,16755,0,58642,current,2,Jan-May,2021,2,Jan-May,2021,3,3,4,2,Y
Burkina Faso,42,BFA,BF,,Sahel,40287,BFA056,BF56,Seno,154480,BFA056002,BF5602,428131,3,175534,149846,81345,21407,0,102752,current,2,Jan-May,2021,2,Jan-May,2021,3,2,4,3,Y
Burkina Faso,42,BFA,BF,,Sahel,40287,BFA056,BF56,Soum,154481,BFA056003,BF5603,385254,3,96314,134839,123281,30820,0,154102,current,2,Jan-May,2021,2,Jan-May,2021,3,2,4,2,Y
Burkina Faso,42,BFA,BF,,Sahel,40287,BFA056,BF56,Yagha,154482,BFA056004,BF5604,179074,3,100281,35815,41187,1791,0,42978,current,2,Jan-May,2021,2,Jan-May,2021,2,3,4,2,Y
Burkina Faso,42,BFA,BF,,Sud-Ouest,40288,BFA057,BF57,Bougouriba,154483,BFA057001,BF5701,162739,1,143210,16274,3255,0,0,3255,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,1,Y
Burkina Faso,42,BFA,BF,,Sud-Ouest,40288,BFA057,BF57,Ioba,154484,BFA057002,BF5702,281685,2,211263,61971,8451,0,0,8451,current,2,Jan-May,2021,2,Jan-May,2021,2,1,2,1,Y
Burkina Faso,42,BFA,BF,,Sud-Ouest,40288,BFA057,BF57,Noumbiel,154485,BFA057003,BF5703,104762,2,75429,26191,3143,0,0,3143,current,2,Jan-May,2021,2,Jan-May,2021,2,1,2,1,Y
Burkina Faso,42,BFA,BF,,Sud-Ouest,40288,BFA057,BF57,Poni,154486,BFA057004,BF5704,376812,2,275073,82899,18841,0,0,18841,current,2,Jan-May,2021,2,Jan-May,2021,2,1,2,1,Y
Mali,155,MLI,ML,,Bamako,1926,MLI009,ML09,Commune III,,MLI00900103,ML090103,186968,1,157053,28045,1870,0,0,1870,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,,Y
Mali,155,MLI,ML,,Bamako,1926,MLI009,ML09,Commune II,,MLI00900102,ML090102,231570,1,206097,23157,2316,0,0,2316,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,,Y
Mali,155,MLI,ML,,Bamako,1926,MLI009,ML09,Commune IV,,MLI00900104,ML090104,442515,1,376138,57527,8850,0,0,8850,current,2,Jan-May,2021,2,Jan-May,2021,1,2,2,,Y
Mali,155,MLI,ML,,Bamako,1926,MLI009,ML09,Commune I,,MLI00900101,ML090101,486632,1,408771,68128,9733,0,0,9733,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,,Y
Mali,155,MLI,ML,,Bamako,1926,MLI009,ML09,Commune VI,,MLI00900106,ML090106,682479,1,586932,88722,6825,0,0,6825,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,,Y
Mali,155,MLI,ML,,Bamako,1926,MLI009,ML09,Commune V,,MLI00900105,ML090105,600528,1,534470,60053,6005,0,0,6005,current,2,Jan-May,2021,2,Jan-May,2021,1,1,2,,Y
Mali,155,MLI,ML,,Gao,1927,MLI007,ML07,Ansongo,19372,MLI007001,ML0701,191745,3,86285,57524,44101,3835,0,47936,current,2,Jan-May,2021,2,Jan-May,2021,2,4,3,,Y
Mali,155,MLI,ML,,Gao,1927,MLI007,ML07,Bourem,19373,MLI007002,ML0702,169086,3,77780,50726,38890,1691,0,40581,current,2,Jan-May,2021,2,Jan-May,2021,2,4,3,,Y
Mali,155,MLI,ML,,Gao,1927,MLI007,ML07,Gao,19374,MLI007003,ML0703,348075,2,180999,121826,45250,0,0,45250,current,2,Jan-May,2021,2,Jan-May,2021,1,4,3,,Y
Mali,155,MLI,ML,,Gao,1927,MLI007,ML07,Menaka,19375,MLI007004,ML0704,79132,3,28488,31653,16618,2374,0,18992,current,2,Jan-May,2021,2,Jan-May,2021,3,3,3,,Y
Mali,155,MLI,ML,,Kayes,1928,MLI001,ML01,Bafoulabe,19376,MLI001001,ML0101,339519,1,285196,44137,10186,0,0,10186,current,2,Jan-May,2021,2,Jan-May,2021,1,,2,,Y
